order_id,item_price,quantity,item_cat,item_name,created_at,delivery_address_1,delivery_address_2,delivery_city,delivery_zipcode
1022,13.49,2,Pizza,"BBQ Chicken",2022-02-08,"987 Maple Ct",NULL,Countryside,56789
1023,11.49,1,Pizza,Vegetarian,2022-02-08,"123 Elmwood Ave","Suite 303",Citytown,23456
1024,8.99,3,Calzone,"Pepperoni Calzone",2022-02-08,"456 Oak St",NULL,Townsville,34507
1025,10.99,2,Pizza,Hawaiian,2022-02-08,"789 Pine Rd",NULL,Villagetown,45678
1026,12.19,1,Pizza,Pepperoni,2022-02-08,"555 Birch Ave","Unit 101",Hamletville,56789
1027,14.99,3,Pizza,Supreme,2022-02-08,"987 Willow Ct",NULL,Suburbia,67890
1028,8.49,1,Calzone,"Vegetable Calzone",2022-02-08,"123 Main St",NULL,Cityville,12345
1029,11.49,2,Pizza,Vegetarian,2022-02-08,"456 Elm St","Apt 202",Townsville,67890
1030,12.19,1,Pizza,Pepperoni,2022-02-08,"789 Oak Rd",NULL,Villageville,34567
1031,19.49,3,Calzone,"Ham & Cheese Calzone",2022-02-08,"555 Pine Ave","Suite 101",Hamletown,45678
1032,10.99,2,Pizza,Hawaiian,2022-02-08,"987 Maple Ct",NULL,Countryside,56789
1033,14.99,1,Pizza,Supreme,2022-02-09,"789 Pine Rd",NULL,Villagetown,45678
1034,11.49,2,Pizza,Vegetarian,2022-02-09,"123 Main St",NULL,Cityville,12345
1035,12.19,1,Pizza,Pepperoni,2022-02-09,"987 Maple Ct",NULL,Countryside,56789
1036,9.99,3,Calzone,"Spinach & Ricotta Calzone",2022-02-09,"555 Pine Ave","Suite 101",Hamletown,45678
1037,8.49,2,Calzone,"Vegetable Calzone",2022-02-09,"789 Oak Rd",NULL,Villageville,34567
1038,10.99,1,Pizza,Hawaiian,2022-02-09,"456 Elm St","Apt 202",Townsville,67890
1039,12.99,2,Pizza,"Buffalo Chicken",2022-02-09,"123 Main St",NULL,Cityville,12345
1040,12.19,1,Pizza,Pepperoni,2022-02-09,"987 Maple Ct",NULL,Countryside,56789
1041,11.99,3,Pizza,"Veggie Supreme",2022-02-09,"555 Pine Ave","Suite 101",Hamletown,45678
1042,14.99,2,Pizza,Supreme,2022-02-09,"789 Oak Rd",NULL,Villageville,34567
1043,11.49,1,Pizza,Vegetarian,2022-02-09,"456 Elm St","Apt 202",Townsville,67890
1044,12.19,2,Pizza,Pepperoni,2022-02-09,"123 Main St",NULL,Cityville,12345
1045,19.49,1,Calzone,"Ham & Cheese Calzone",2022-02-09,"987 Maple Ct",NULL,Countryside,56789
1046,11.49,3,Pizza,Vegetarian,2022-02-09,"987 Willow Ct",NULL,Suburbia,67890
1047,13.99,2,Pizza,"Chicken Alfredo",2022-02-09,"555 Pine Ave","Suite 101",Hamletown,45678
1048,8.99,1,Calzone,"Pepperoni Calzone",2022-02-09,"456 Oak St",NULL,Townsville,34507
1049,19.49,3,Calzone,"Ham & Cheese Calzone",2022-02-09,"456 Elm St","Apt 202",Townsville,67890
1050,11.99,2,Pizza,"Veggie Supreme",2022-02-09,"123 Main St",NULL,Cityville,12345
1051,8.49,1,Calzone,"Vegetable Calzone",2022-02-09,"321 Cedar Ln",NULL,Metropolis,78901
1052,13.99,3,Pizza,"Chicken Alfredo",2022-02-09,"555 Pine Ave","Suite 101",Hamletown,45678
1053,8.99,2,Calzone,"Pepperoni Calzone",2022-02-09,"789 Oak Rd",NULL,Villageville,34567
1054,11.99,1,Pizza,"Veggie Supreme",2022-02-09,"456 Elm St","Apt 202",Townsville,67890
1055,19.49,2,Calzone,"Ham & Cheese Calzone",2022-02-10,"123 Main St",NULL,Cityville,12345
1056,8.49,3,Calzone,"Vegetable Calzone",2022-02-10,"789 Pine Rd",NULL,Villagetown,45678
1057,8.99,1,Calzone,"Pepperoni Calzone",2022-02-10,"555 Pine Ave","Suite 101",Hamletown,45678
1058,9.99,2,Pizza,Mushroom,2022-02-10,"789 Oak Rd",NULL,Villageville,34567
1059,13.49,1,Pizza,"BBQ Chicken",2022-02-10,"456 Elm St","Apt 202",Townsville,67890
1060,11.99,2,Pizza,Cheeseburger,2022-02-10,"123 Main St",NULL,Cityville,12345
1061,8.99,3,Calzone,"Pepperoni Calzone",2022-02-10,"987 Maple Ct",NULL,Countryside,56789
1062,12.19,1,Pizza,Pepperoni,2022-02-10,"555 Pine Ave","Suite 101",Hamletown,45678
1063,11.99,1,Pizza,"Veggie Supreme",2022-02-10,"789 Oak Rd",NULL,Villageville,34567
1064,10.99,3,Pizza,Hawaiian,2022-02-10,"123 Elmwood Ave","Suite 303",Citytown,23456
1065,8.49,1,Calzone,"Vegetable Calzone",2022-02-10,"123 Main St",NULL,Cityville,12345
1066,11.49,2,Pizza,Vegetarian,2022-02-10,"987 Maple Ct",NULL,Countryside,56789
1067,12.99,1,Pizza,"Buffalo Chicken",2022-02-10,"555 Pine Ave","Suite 101",Hamletown,45678
1068,10.99,3,Pizza,Margherita,2022-02-10,"789 Oak Rd",NULL,Villageville,34567
1069,10.99,2,Pizza,Hawaiian,2022-02-10,"456 Elm St","Apt 202",Townsville,67890
1070,9.99,1,Pizza,Mushroom,2022-02-10,"123 Main St",NULL,Cityville,12345
1071,11.49,3,Pizza,Vegetarian,2022-02-10,"555 Birch Ave","Unit 101",Hamletville,56789
1072,12.19,2,Pizza,Pepperoni,2022-02-10,"555 Pine Ave","Suite 101",Hamletown,45678
1073,12.19,2,Pizza,Pepperoni,2022-02-11,"456 Elm St","Apt 202",Townsville,67890
1074,13.49,1,Pizza,"BBQ Chicken",2022-02-11,"123 Main St",NULL,Cityville,12345
1075,11.99,2,Pizza,Cheeseburger,2022-02-11,"987 Maple Ct",NULL,Countryside,56789
1076,8.99,3,Calzone,"Pepperoni Calzone",2022-02-11,"123 Elmwood Ave","Suite 303",Citytown,23456
1077,12.19,1,Pizza,Pepperoni,2022-02-11,"456 Oak St",NULL,Townsville,34507
1078,11.99,2,Pizza,"Veggie Supreme",2022-02-11,"789 Pine Rd",NULL,Villagetown,45678
1079,10.99,3,Pizza,Hawaiian,2022-02-11,"555 Birch Ave","Unit 101",Hamletville,56789
1080,8.49,1,Calzone,"Vegetable Calzone",2022-02-11,"987 Willow Ct",NULL,Suburbia,67890
1081,11.49,2,Pizza,Vegetarian,2022-02-11,"321 Cedar Ln",NULL,Metropolis,78901
1082,12.99,1,Pizza,"Buffalo Chicken",2022-02-11,"456 Elm St","Apt 202",Townsville,67890
1083,10.99,3,Pizza,Margherita,2022-02-11,"789 Oak Rd",NULL,Villageville,34567
1084,10.99,2,Pizza,Hawaiian,2022-02-11,"555 Pine Ave","Suite 101",Hamletown,45678
1085,9.99,1,Pizza,Mushroom,2022-02-11,"987 Maple Ct",NULL,Countryside,56789
1086,11.49,3,Pizza,Vegetarian,2022-02-11,"123 Elmwood Ave","Suite 303",Citytown,23456
1087,12.19,2,Pizza,Pepperoni,2022-02-11,"456 Oak St",NULL,Townsville,34507
1088,10.99,1,Pizza,Margherita,2022-02-12,"789 Pine Rd",NULL,Villagetown,45678
1089,10.99,3,Pizza,Hawaiian,2022-02-12,"555 Birch Ave","Unit 101",Hamletville,56789
1090,14.99,1,Pizza,Margherita,2022-02-12,"987 Willow Ct",NULL,Suburbia,67890
1091,11.49,2,Pizza,Vegetarian,2022-02-12,"321 Cedar Ln",NULL,Metropolis,78901
1092,12.19,2,Pizza,Pepperoni,2022-02-12,"456 Elm St","Apt 202",Townsville,67890
1093,8.99,1,Pizza,Margherita,2022-02-12,"789 Oak Rd",NULL,Villageville,34567
1094,10.99,3,Pizza,Hawaiian,2022-02-12,"555 Pine Ave","Suite 101",Hamletown,45678
1095,8.49,2,Calzone,"Vegetable Calzone",2022-02-12,"987 Maple Ct",NULL,Countryside,56789
1096,11.49,1,Pizza,Vegetarian,2022-02-12,"123 Elmwood Ave","Suite 303",Citytown,23456
1097,12.19,2,Pizza,Pepperoni,2022-02-12,"456 Oak St",NULL,Townsville,34507
1098,14.49,1,Pizza,"Meat Lovers",2022-02-12,"789 Pine Rd",NULL,Villagetown,45678
1099,19.49,3,Calzone,"Ham & Cheese Calzone",2022-02-12,"555 Birch Ave","Unit 101",Hamletville,56789
1100,8.49,1,Calzone,"Vegetable Calzone",2022-02-12,"987 Willow Ct",NULL,Suburbia,67890
1101,8.99,2,Calzone,"Pepperoni Calzone",2022-02-12,"321 Cedar Ln",NULL,Metropolis,78901
1102,13.49,1,Pizza,"BBQ Chicken",2022-02-12,"123 Main St",NULL,Cityville,12345
1103,11.49,2,Pizza,Vegetarian,2022-02-13,"456 Elm St","Apt 202",Townsville,67890
1104,12.19,1,Pizza,Pepperoni,2022-02-13,"789 Oak Rd",NULL,Villageville,34567
1105,19.49,3,Calzone,"Ham & Cheese Calzone",2022-02-13,"555 Pine Ave","Suite 101",Hamletown,45678
1106,10.99,2,Pizza,Hawaiian,2022-02-13,"987 Maple Ct",NULL,Countryside,56789
1107,14.99,1,Pizza,Supreme,2022-02-13,"123 Elmwood Ave","Suite 303",Citytown,23456
1108,11.49,2,Pizza,Vegetarian,2022-02-13,"456 Oak St",NULL,Townsville,34507
1109,12.19,1,Pizza,Pepperoni,2022-02-13,"789 Pine Rd",NULL,Villagetown,45678
1110,9.99,3,Calzone,"Spinach & Ricotta Calzone",2022-02-13,"555 Birch Ave","Unit 101",Hamletville,56789
1111,8.49,2,Calzone,"Vegetable Calzone",2022-02-13,"987 Willow Ct",NULL,Suburbia,67890
1112,10.99,1,Pizza,Margherita,2022-02-13,"321 Cedar Ln",NULL,Metropolis,78901
1113,12.19,2,Pizza,Pepperoni,2022-02-13,"123 Main St",NULL,Cityville,12345
1114,14.99,3,Pizza,Margherita,2022-02-13,"456 Elm St","Apt 202",Townsville,67890
1115,19.49,1,Calzone,"Ham & Cheese Calzone",2022-02-13,"789 Oak Rd",NULL,Villageville,34567
1116,8.99,2,Pizza,Margherita,2022-02-13,"555 Pine Ave","Suite 101",Hamletown,45678
1117,11.99,1,Pizza,"Veggie Supreme",2022-02-13,"987 Maple Ct",NULL,Countryside,56789
1118,14.49,3,Pizza,"Meat Lovers",2022-02-13,"123 Elmwood Ave","Suite 303",Citytown,23456
1119,9.99,2,Pizza,Mushroom,2022-02-13,"456 Oak St",NULL,Townsville,34507
1120,12.99,1,Pizza,"Buffalo Chicken",2022-02-13,"789 Pine Rd",NULL,Villagetown,45678
1121,19.49,3,Calzone,"Ham & Cheese Calzone",2022-02-14,"555 Pine Ave","Suite 101",Hamletown,45678
1122,10.99,2,Pizza,Hawaiian,2022-02-14,"987 Maple Ct",NULL,Countryside,56789
1123,14.99,1,Pizza,Supreme,2022-02-14,"123 Elmwood Ave","Suite 303",Citytown,23456
1124,11.49,2,Pizza,Vegetarian,2022-02-14,"456 Oak St",NULL,Townsville,34507
1125,12.19,1,Pizza,Pepperoni,2022-02-14,"789 Pine Rd",NULL,Villagetown,45678
1126,9.99,3,Calzone,"Spinach & Ricotta Calzone",2022-02-14,"555 Birch Ave","Unit 101",Hamletville,56789
1127,8.49,2,Calzone,"Vegetable Calzone",2022-02-14,"987 Willow Ct",NULL,Suburbia,67890
1128,10.99,1,Pizza,Margherita,2022-02-14,"321 Cedar Ln",NULL,Metropolis,78901
1129,12.19,2,Pizza,Pepperoni,2022-02-14,"123 Main St",NULL,Cityville,12345
1130,14.99,3,Pizza,Margherita,2022-02-14,"456 Elm St","Apt 202",Townsville,67890
1131,19.49,1,Calzone,"Ham & Cheese Calzone",2022-02-14,"789 Oak Rd",NULL,Villageville,34567
1132,8.99,2,Pizza,Margherita,2022-02-14,"555 Pine Ave","Suite 101",Hamletown,45678
1133,11.99,1,Pizza,"Veggie Supreme",2022-02-14,"987 Maple Ct",NULL,Countryside,56789
1134,14.49,3,Pizza,"Meat Lovers",2022-02-14,"123 Elmwood Ave","Suite 303",Citytown,23456
1135,9.99,2,Pizza,Mushroom,2022-02-14,"456 Oak St",NULL,Townsville,34507
1136,12.99,1,Pizza,"Buffalo Chicken",2022-02-14,"789 Pine Rd",NULL,Villagetown,45678
1137,11.99,3,Pizza,Cheeseburger,2022-02-14,"555 Birch Ave","Unit 101",Hamletville,56789
1138,13.49,2,Pizza,"BBQ Chicken",2022-02-14,"987 Willow Ct",NULL,Suburbia,67890
1139,10.99,1,Pizza,Hawaiian,2022-02-14,"321 Cedar Ln",NULL,Metropolis,78901
1140,14.99,3,Pizza,Supreme,2022-02-14,"123 Main St",NULL,Cityville,12345
1141,11.49,2,Pizza,Vegetarian,2022-02-14,"456 Elm St","Apt 202",Townsville,67890
1142,12.19,1,Pizza,Pepperoni,2022-02-14,"789 Oak Rd",NULL,Villageville,34567
